,Enterprise_ID,Region,Enterprise_Size,Revenue,Expenses,Loan_Amount,Debt_to_Equity,Avg_Temperature,Rainfall,Drought_Index,Flood_Risk_Score,Commodity_Price_Index,Input_Cost_Index,Policy_Support_Score,Quarter,Net_Profit,Financial_Risk_Level
count,4981,4981,4981,4981.0,4981.0,4981.0,4981.0,4981.0,4981.0,4981.0,4981.0,4981.0,4981.0,4981.0,4981,4981.0,4981
unique,4981,4,3,,,,,,,,,,,,4,,3
top,ENT4981,North,Medium,,,,,,,,,,,,Q1,,Medium
freq,1,1291,1669,,,,,,,,,,,,1290,,2267
mean,,,,500.35566151375224,399.61175266010844,149.48361573981126,1.067331861072074,25.995603292511547,149.31160409556315,0.5035715719734993,0.5019052399116642,100.20550291106203,49.93780967677173,5.04296326038948,,100.74390885364386,
std,,,,149.0965731838587,100.30867882826963,86.91873870754307,0.5497538771016378,4.988198798306549,86.03223507350968,0.29104022056558737,0.2873748441650438,20.128947463715775,9.771272224447118,3.2066323669861725,,179.69157559305717,
min,,,,-54.49,63.47,0.0,0.1,8.0,0.1,0.0,0.0,33.07,13.25,0.0,,-505.24,
25%,,,,399.37,331.3,74.13,0.6,22.6,77.0,0.25,0.25,86.76,43.31,2.0,,-20.94999999999999,
50%,,,,502.05,399.09,147.92,1.08,26.0,148.1,0.5,0.5,100.33,49.99,5.0,,103.02000000000004,
75%,,,,601.34,467.49,225.36,1.54,29.4,222.6,0.76,0.75,113.98,56.58,8.0,,222.62,
max,,,,1107.88,741.86,299.91,2.0,42.9,300.0,1.0,1.0,170.93,83.63,10.0,,781.85,
